MEASURE BEATLENGTH ARROWDIR
51 EIGHTH RIGHT
51 EIGHTH DOWN
51 EIGHTH UP
51 EIGHTH DOWN
52 EIGHTH UP
52 EIGHTH DOWN
52 EIGHTH UP
52 EIGHTH DOWN
52 EIGHTH LEFT
52 EIGHTH RIGHT
52 EIGHTH LEFT
52 EIGHTH RIGHT
53 EIGHTH UP
53 EIGHTH LEFT
53 EIGHTH RIGHT
53 EIGHTH LEFT
53 EIGHTH DOWN
53 EIGHTH RIGHT
53 EIGHTH LEFT
53 EIGHTH RIGHT
54 EIGHTH UP
54 EIGHTH LEFT
54 EIGHTH RIGHT
54 EIGHTH LEFT
54 EIGHTH DOWN
54 EIGHTH RIGHT
54 EIGHTH LEFT
54 EIGHTH RIGHT
55 EIGHTH UP
55 EIGHTH LEFT
55 EIGHTH RIGHT
55 EIGHTH LEFT
55 EIGHTH DOWN
55 EIGHTH RIGHT
55 EIGHTH LEFT
55 EIGHTH RIGHT
56 EIGHTH UP
56 EIGHTH DOWN
56 EIGHTH UP
56 EIGHTH DOWN
56 EIGHTH LEFT
56 EIGHTH RIGHT
56 EIGHTH LEFT
56 EIGHTH RIGHT
57 EIGHTH LEFT
57 EIGHTH UP
57 EIGHTH DOWN
57 EIGHTH UP
57 EIGHTH RIGHT
57 EIGHTH DOWN
57 EIGHTH UP
57 EIGHTH DOWN
58 EIGHTH LEFT
58 EIGHTH UP
58 EIGHTH DOWN
58 EIGHTH UP
58 QUARTER RIGHT
58 QUARTER DOWN
59 EIGHTH LEFT
59 EIGHTH UP
59 EIGHTH DOWN
59 EIGHTH UP
59 EIGHTH RIGHT
59 EIGHTH DOWN
59 EIGHTH UP
59 EIGHTH DOWN
60 EIGHTH LEFT
60 EIGHTH LEFT
60 EIGHTH LEFT
60 EIGHTH LEFT
60 EIGHTH DOWN
60 EIGHTH DOWN
60 EIGHTH DOWN
60 EIGHTH DOWN
61 EIGHTH UP
61 EIGHTH LEFT
61 EIGHTH RIGHT
61 EIGHTH LEFT
61 EIGHTH DOWN
61 EIGHTH RIGHT
61 EIGHTH LEFT
61 EIGHTH RIGHT
62 EIGHTH UP
62 EIGHTH LEFT
62 EIGHTH RIGHT
62 EIGHTH LEFT
62 EIGHTH DOWN
62 EIGHTH RIGHT
62 EIGHTH LEFT
62 EIGHTH RIGHT
63 EIGHTH UP
63 EIGHTH LEFT
63 EIGHTH RIGHT
63 EIGHTH LEFT
63 EIGHTH DOWN
63 EIGHTH RIGHT
63 EIGHTH LEFT
63 EIGHTH RIGHT
64 QUARTER DOWN
64 QUARTER UP
64 QUARTER RIGHT
64 QUARTER LEFT
65 QUARTER LEFT
65 EIGHTH UP
65 EIGHTH DOWN
65 QUARTER LEFT
65 QUARTER RIGHT
66 EIGHTH LEFT
66 EIGHTH RIGHT
66 EIGHTH UP
66 EIGHTH DOWN
66 QUARTER LEFT
66 QUARTER RIGHT
67 EIGHTH LEFT
67 EIGHTH RIGHT
67 EIGHTH UP
67 EIGHTH DOWN
67 QUARTER LEFT
67 QUARTER RIGHT
68 EIGHTH LEFT
68 EIGHTH RIGHT
68 EIGHTH UP
68 EIGHTH DOWN
68 EIGHTH LEFT
68 EIGHTH RIGHT
68 EIGHTH LEFT
68 EIGHTH RIGHT
69 QUARTER LEFT
69 EIGHTH UP
69 EIGHTH DOWN
69 QUARTER LEFT
69 QUARTER RIGHT
70 EIGHTH LEFT
70 EIGHTH RIGHT
70 EIGHTH UP
70 EIGHTH DOWN
70 QUARTER LEFT
70 QUARTER RIGHT
71 EIGHTH LEFT
71 EIGHTH RIGHT
71 EIGHTH UP
71 EIGHTH DOWN
71 QUARTER LEFT
71 QUARTER RIGHT
72 QUARTER DOWN
72 QUARTER UP
72 QUARTER RIGHT
72 QUARTER LEFT
73 QUARTER LEFT
73 EIGHTH UP
73 EIGHTH DOWN
73 QUARTER LEFT
73 QUARTER RIGHT
74 EIGHTH LEFT
74 EIGHTH RIGHT
74 EIGHTH UP
74 EIGHTH DOWN
74 QUARTER LEFT
74 QUARTER RIGHT
75 EIGHTH LEFT
75 EIGHTH RIGHT
75 EIGHTH UP
75 EIGHTH DOWN
75 QUARTER LEFT
75 QUARTER RIGHT
76 QUARTER LEFT
76 QUARTER UP
76 QUARTER RIGHT
76 QUARTER DOWN
77 QUARTER LEFT
77 EIGHTH UP
77 EIGHTH DOWN
77 QUARTER LEFT
77 QUARTER RIGHT
78 EIGHTH LEFT
78 EIGHTH RIGHT
78 EIGHTH UP
78 EIGHTH DOWN
78 QUARTER LEFT
78 QUARTER RIGHT
79 QUARTER LEFT
79 EIGHTH UP
79 EIGHTH DOWN
79 QUARTER LEFT
79 QUARTER RIGHT
80 WHOLE LEFT
81 EIGHTH LEFT
81 EIGHTH RIGHT
81 EIGHTH DOWN
81 HALF_TIE_EIGHTH UP
82 HALF LEFT
82 EIGHTH LEFT
82 EIGHTH RIGHT
82 EIGHTH LEFT
82 EIGHTH RIGHT
83 EIGHTH DOWN
83 EIGHTH UP
83 EIGHTH RIGHT
83 HALF_TIE_EIGHTH LEFT
84 HALF LEFT
84 EIGHTH LEFT
84 EIGHTH RIGHT
84 EIGHTH LEFT
84 EIGHTH RIGHT
85 EIGHTH DOWN
85 EIGHTH UP
85 EIGHTH RIGHT
85 HALF_TIE_EIGHTH LEFT
86 HALF LEFT
86 HALF UP
87 EIGHTH DOWN
87 EIGHTH UP
87 EIGHTH RIGHT
87 DOTTED_QUARTER LEFT
87 QUARTER LEFT
88 DOTTED_QUARTER DOWN
88 DOTTED_QUARTER UP
88 QUARTER RIGHT
89 EIGHTH LEFT
89 EIGHTH RIGHT
89 EIGHTH DOWN
89 HALF_TIE_EIGHTH UP
90 HALF LEFT
90 EIGHTH LEFT
90 EIGHTH RIGHT
90 EIGHTH LEFT
90 EIGHTH RIGHT
91 EIGHTH DOWN
91 EIGHTH UP
91 EIGHTH RIGHT
91 HALF_TIE_EIGHTH LEFT
92 HALF LEFT
92 EIGHTH LEFT
92 EIGHTH RIGHT
92 EIGHTH LEFT
92 EIGHTH RIGHT
93 EIGHTH DOWN
93 EIGHTH UP
93 EIGHTH RIGHT
93 HALF_TIE_EIGHTH LEFT
94 HALF LEFT
94 HALF UP
95 EIGHTH DOWN
95 EIGHTH UP
95 EIGHTH RIGHT
95 DOTTED_QUARTER LEFT
95 QUARTER LEFT
96 DOTTED_QUARTER DOWN
96 DOTTED_QUARTER UP
96 QUARTER RIGHT
97 HALF LEFT
97 QUARTER LEFT
97 QUARTER RIGHT
98 QUARTER DOWN
98 EIGHTH DOWN
98 DOTTED_QUARTER UP
98 QUARTER RIGHT
99 WHOLE LEFT
100 HALF LEFT
100 HALF LEFT
101 HALF LEFT
101 HALF LEFT
102 QUARTER LEFT
102 EIGHTH RIGHT
102 DOTTED_QUARTER DOWN
102 EIGHTH UP
102 DOTTED_QUARTER RIGHT
103 EIGHTH RIGHT
103 DOTTED_QUARTER LEFT
103 QUARTER LEFT
104 DOTTED_QUARTER DOWN
104 DOTTED_QUARTER UP
104 QUARTER RIGHT
105 QUARTER LEFT
105 QUARTER LEFT
105 QUARTER LEFT
105 QUARTER RIGHT
106 QUARTER DOWN
106 EIGHTH DOWN
106 DOTTED_QUARTER UP
106 QUARTER RIGHT
107 WHOLE LEFT
108 HALF RIGHT
108 HALF UP
109 WHOLE DOWN
110 QUARTER LEFT
110 QUARTER DOWN
110 QUARTER UP
110 QUARTER RIGHT
111 DOTTED_QUARTER LEFT
111 DOTTED_QUARTER UP
111 DOTTED_QUARTER LEFT
112 EIGHTH UP
112 EIGHTH RIGHT
112 EIGHTH LEFT
112 QUARTER DOWN
112 QUARTER RIGHT
113 HALF LEFT
113 QUARTER UP
113 EIGHTH DOWN
113 HALF_TIE_EIGHTH LEFT
114 QUARTER UP
114 EIGHTH DOWN
114 HALF_TIE_EIGHTH LEFT
115 QUARTER UP
115 EIGHTH DOWN
115 DOTTED_QUARTER LEFT
116 QUARTER UP
116 EIGHTH DOWN
116 QUARTER UP
116 HALF_TIE_EIGHTH LEFT
117 QUARTER UP
117 EIGHTH DOWN
117 HALF_TIE_EIGHTH LEFT
118 QUARTER UP
118 EIGHTH DOWN
118 HALF_TIE_EIGHTH LEFT
119 QUARTER UP
119 EIGHTH DOWN
119 DOTTED_QUARTER LEFT
120 QUARTER UP
120 EIGHTH DOWN
120 QUARTER UP
120 HALF_TIE_EIGHTH LEFT
121 QUARTER UP
121 EIGHTH DOWN
121 HALF_TIE_EIGHTH LEFT
122 QUARTER UP
122 EIGHTH DOWN
122 HALF_TIE_EIGHTH LEFT
123 QUARTER UP
123 EIGHTH DOWN
123 DOTTED_QUARTER LEFT
124 QUARTER UP
124 EIGHTH DOWN
124 QUARTER UP
124 EIGHTH LEFT
125 EIGHTH UP
125 EIGHTH DOWN
125 EIGHTH UP
125 EIGHTH DOWN
125 EIGHTH UP
125 EIGHTH DOWN
125 EIGHTH UP
125 EIGHTH DOWN
126 EIGHTH UP
126 EIGHTH DOWN
126 EIGHTH UP
126 EIGHTH DOWN
126 EIGHTH UP
126 EIGHTH DOWN
126 EIGHTH UP
126 EIGHTH DOWN
127 EIGHTH UP
127 EIGHTH DOWN
127 EIGHTH UP
127 EIGHTH DOWN
127 EIGHTH UP
127 EIGHTH DOWN
127 EIGHTH UP
127 EIGHTH DOWN
128 QUARTER UP
128 EIGHTH DOWN
128 EIGHTH LEFT
128 HALF UP
129 QUARTER LEFT
129 EIGHTH UP
129 EIGHTH DOWN
129 QUARTER LEFT
129 QUARTER RIGHT
130 EIGHTH LEFT
130 EIGHTH RIGHT
130 EIGHTH UP
130 EIGHTH DOWN
130 QUARTER LEFT
130 QUARTER RIGHT
131 EIGHTH LEFT
131 EIGHTH RIGHT
131 EIGHTH UP
131 EIGHTH DOWN
131 QUARTER LEFT
131 QUARTER RIGHT
132 EIGHTH LEFT
132 EIGHTH RIGHT
132 EIGHTH UP
132 EIGHTH DOWN
132 EIGHTH LEFT
132 EIGHTH RIGHT
132 EIGHTH LEFT
132 EIGHTH RIGHT
133 QUARTER LEFT
133 EIGHTH UP
133 EIGHTH DOWN
133 QUARTER LEFT
133 QUARTER RIGHT
134 EIGHTH LEFT
134 EIGHTH RIGHT
134 EIGHTH UP
134 EIGHTH DOWN
134 QUARTER LEFT
134 QUARTER RIGHT
135 EIGHTH LEFT
135 EIGHTH RIGHT
135 EIGHTH UP
135 EIGHTH DOWN
135 QUARTER LEFT
135 QUARTER RIGHT
136 QUARTER DOWN
136 QUARTER UP
136 QUARTER RIGHT
136 QUARTER LEFT
137 QUARTER LEFT
137 EIGHTH UP
137 EIGHTH DOWN
137 QUARTER LEFT
137 QUARTER RIGHT
138 EIGHTH LEFT
138 EIGHTH RIGHT
138 EIGHTH UP
138 EIGHTH DOWN
138 QUARTER LEFT
138 QUARTER RIGHT
139 EIGHTH LEFT
139 EIGHTH RIGHT
139 EIGHTH UP
139 EIGHTH DOWN
139 QUARTER LEFT
139 QUARTER RIGHT
140 QUARTER LEFT
140 QUARTER UP
140 QUARTER RIGHT
140 QUARTER DOWN
141 QUARTER LEFT
141 EIGHTH UP
141 EIGHTH DOWN
141 QUARTER LEFT
141 QUARTER RIGHT
142 EIGHTH LEFT
142 EIGHTH RIGHT
142 EIGHTH UP
142 EIGHTH DOWN
142 QUARTER LEFT
142 QUARTER RIGHT
143 QUARTER LEFT
143 EIGHTH UP
143 EIGHTH DOWN
143 QUARTER LEFT
143 QUARTER DOWN
144 QUARTER RIGHT
144 DOTTED_HALF UP
145 QUARTER LEFT
145 QUARTER LEFT
145 QUARTER LEFT
145 QUARTER LEFT
146 QUARTER RIGHT
146 DOTTED_HALF RIGHT
147 QUARTER DOWN
147 QUARTER DOWN
147 QUARTER DOWN
147 QUARTER DOWN
148 QUARTER UP
148 DOTTED_HALF UP
149 QUARTER LEFT
149 EIGHTH UP
149 EIGHTH DOWN
149 QUARTER LEFT
149 QUARTER RIGHT
150 EIGHTH LEFT
150 EIGHTH RIGHT
150 EIGHTH UP
150 EIGHTH DOWN
150 QUARTER LEFT
150 QUARTER RIGHT
151 EIGHTH LEFT
151 EIGHTH RIGHT
151 EIGHTH UP
151 EIGHTH DOWN
151 QUARTER LEFT
151 QUARTER RIGHT
152 QUARTER DOWN
152 QUARTER UP
152 QUARTER RIGHT
152 QUARTER LEFT
153 QUARTER LEFT
153 EIGHTH UP
153 EIGHTH DOWN
153 QUARTER LEFT
153 QUARTER RIGHT
154 EIGHTH LEFT
154 EIGHTH RIGHT
154 EIGHTH UP
154 EIGHTH DOWN
154 QUARTER LEFT
154 QUARTER RIGHT
155 EIGHTH LEFT
155 EIGHTH RIGHT
155 EIGHTH UP
155 EIGHTH DOWN
155 QUARTER LEFT
155 QUARTER RIGHT
156 QUARTER LEFT
156 QUARTER UP
156 QUARTER RIGHT
156 QUARTER DOWN
157 QUARTER LEFT
157 EIGHTH UP
157 EIGHTH DOWN
157 QUARTER LEFT
157 QUARTER RIGHT
158 EIGHTH LEFT
158 EIGHTH RIGHT
158 EIGHTH UP
158 EIGHTH DOWN
158 QUARTER LEFT
158 QUARTER RIGHT
159 QUARTER LEFT
159 EIGHTH UP
159 EIGHTH DOWN
159 QUARTER LEFT
159 QUARTER DOWN
160 QUARTER RIGHT
160 QUARTER UP
160 HALF DOWN
161 WHOLE LEFT
162 QUARTER DOWN
162 QUARTER UP
162 QUARTER RIGHT
162 QUARTER LEFT
163 DOTTED_HALF RIGHT
163 EIGHTH DOWN
163 EIGHTH UP
164 WHOLE RIGHT
165 DOTTED_HALF LEFT
165 QUARTER RIGHT
166 QUARTER DOWN
166 QUARTER UP
166 QUARTER RIGHT
166 QUARTER RIGHT
167 QUARTER LEFT
167 QUARTER RIGHT
167 QUARTER UP
167 QUARTER DOWN
168 HALF LEFT
168 HALF RIGHT
169 WHOLE DOWN
170 QUARTER LEFT
170 QUARTER RIGHT
170 QUARTER UP
170 QUARTER DOWN
171 DOTTED_HALF UP
171 QUARTER RIGHT
172 QUARTER LEFT
172 EIGHTH LEFT
172 EIGHTH RIGHT
172 QUARTER UP
172 QUARTER DOWN
173 QUARTER LEFT
